questionnaire,score_column,factor,factor_type,association,n
midas_result,midas_result_K10,gender,categorical,0.0003894588962166248,63
midas_result,midas_result_K10,birthyear,numeric,-0.1026602370724945,63
midas_result,midas_result_K10,postal_code_K10,numeric,-0.05034417845092621,63
midas_result,midas_result_K10,weight_K10,numeric,0.05017839497514645,63
midas_result,midas_result_K10,highest_degree_K10,categorical,0.13102668339175252,63
midas_result,midas_result_K10,highest_education_K10,categorical,0.05541602517631179,63
midas_result,midas_result_K10,family_status_K10,categorical,0.1327081493123556,63
midas_result,midas_result_K10,current_employed_K10,categorical,0.07801155580288097,63
midas_result,midas_result_K10,working_hours_model_K10,categorical,0.00490793467136698,53
midas_result,midas_result_K10,working_hours_reduced_K10,binary,0.25248472176250236,63
midas_result,midas_result_K10,promotion_waived_K10,binary,0.47518362423664273,63
midas_result,midas_result_K10,children_K10,numeric,-0.1062075615455452,31
midas_result,midas_result_K10,ch_max_birth_K10,numeric,-0.4360665490061647,31
midas_result,midas_result_K10,ch_min_birth_K10,numeric,-0.39844376414643173,31
midas_result,midas_result_K10,headache_days_per_month_K10,numeric,0.6807111295253189,63
midas_result,midas_result_K10,headache_days_severe_per_month_K10,numeric,0.6070065372339546,63
midas_result,midas_result_K10,days_medication_K10,numeric,0.40480008782174104,63
midas_result,midas_result_K10,intensity_K10,numeric,0.22876755091397946,63
midas_result,midas_result_K10,days_lost_work_K10,numeric,0.5159554800858088,63
midas_result,midas_result_K10,days_lost_household_K10,numeric,0.592862415385508,63
midas_result,midas_result_K10,days_doctor_K10,numeric,0.23749880205590984,63
midas_result,midas_result_K10,days_ER_K10,binary,0.2218500785242409,63
midas_result,midas_result_K10,days_hospital_K10,numeric,0.20094176807806718,63
dass_depression,dass_depression_K10,gender,categorical,0.01861391217562548,63
dass_depression,dass_depression_K10,birthyear,numeric,-0.08760338042106823,63
dass_depression,dass_depression_K10,postal_code_K10,numeric,-0.2932752507367045,63
dass_depression,dass_depression_K10,weight_K10,numeric,0.08724754869958495,63
dass_depression,dass_depression_K10,highest_degree_K10,categorical,0.07654196687151665,63
dass_depression,dass_depression_K10,highest_education_K10,categorical,0.048378990456813466,63
dass_depression,dass_depression_K10,family_status_K10,categorical,0.05601130283316393,63
dass_depression,dass_depression_K10,current_employed_K10,categorical,0.042219603009226905,63
dass_depression,dass_depression_K10,working_hours_model_K10,categorical,0.011736739881274024,53
dass_depression,dass_depression_K10,working_hours_reduced_K10,binary,0.11529381499667551,63
dass_depression,dass_depression_K10,promotion_waived_K10,binary,0.08721458351447892,63
dass_depression,dass_depression_K10,children_K10,numeric,0.2238506349760212,31
dass_depression,dass_depression_K10,ch_max_birth_K10,numeric,-0.29549266471568764,31
dass_depression,dass_depression_K10,ch_min_birth_K10,numeric,-0.3982341733566851,31
dass_depression,dass_depression_K10,headache_days_per_month_K10,numeric,0.3071856390289591,63
dass_depression,dass_depression_K10,headache_days_severe_per_month_K10,numeric,0.12076957393353985,63
dass_depression,dass_depression_K10,days_medication_K10,numeric,-0.07303668822749179,63
dass_depression,dass_depression_K10,intensity_K10,numeric,0.11624568603405118,63
dass_depression,dass_depression_K10,days_lost_work_K10,numeric,0.038739419886090955,63
dass_depression,dass_depression_K10,days_lost_household_K10,numeric,0.09260649913177188,63
dass_depression,dass_depression_K10,days_doctor_K10,numeric,-0.04104483887983751,63
dass_depression,dass_depression_K10,days_ER_K10,binary,0.13134779817521627,63
dass_depression,dass_depression_K10,days_hospital_K10,numeric,0.13048330705484132,63
dass_fear,dass_fear_K10,gender,categorical,0.05375668028921723,63
dass_fear,dass_fear_K10,birthyear,numeric,-0.12383345018503897,63
dass_fear,dass_fear_K10,postal_code_K10,numeric,-0.13918639178486752,63
dass_fear,dass_fear_K10,weight_K10,numeric,0.00948647292777147,63
dass_fear,dass_fear_K10,highest_degree_K10,categorical,0.03840218802635269,63
dass_fear,dass_fear_K10,highest_education_K10,categorical,0.013437057991513433,63
dass_fear,dass_fear_K10,family_status_K10,categorical,0.14399104289060133,63
dass_fear,dass_fear_K10,current_employed_K10,categorical,0.009502470446578454,63
dass_fear,dass_fear_K10,working_hours_model_K10,categorical,0.0018204957101463006,53
dass_fear,dass_fear_K10,working_hours_reduced_K10,binary,0.29734370044753555,63
dass_fear,dass_fear_K10,promotion_waived_K10,binary,0.22327962266265503,63
dass_fear,dass_fear_K10,children_K10,numeric,0.17083639570076525,31
dass_fear,dass_fear_K10,ch_max_birth_K10,numeric,-0.4745171719805892,31
dass_fear,dass_fear_K10,ch_min_birth_K10,numeric,-0.5088510588130339,31
dass_fear,dass_fear_K10,headache_days_per_month_K10,numeric,0.35868015999279423,63
dass_fear,dass_fear_K10,headache_days_severe_per_month_K10,numeric,0.24114994034217932,63
dass_fear,dass_fear_K10,days_medication_K10,numeric,0.022059740173258433,63
dass_fear,dass_fear_K10,intensity_K10,numeric,0.060848865826872926,63
dass_fear,dass_fear_K10,days_lost_work_K10,numeric,0.31167622579076454,63
dass_fear,dass_fear_K10,days_lost_household_K10,numeric,0.14105447324287507,63
dass_fear,dass_fear_K10,days_doctor_K10,numeric,-0.07382879047260868,63
dass_fear,dass_fear_K10,days_ER_K10,binary,0.013873821018339541,63
dass_fear,dass_fear_K10,days_hospital_K10,numeric,0.1428412132592065,63
dass_stress,dass_stress_K10,gender,categorical,0.0996345732225487,63
dass_stress,dass_stress_K10,birthyear,numeric,-0.1379083047847936,63
dass_stress,dass_stress_K10,postal_code_K10,numeric,-0.21247309000248718,63
dass_stress,dass_stress_K10,weight_K10,numeric,-0.009726334414156,63
dass_stress,dass_stress_K10,highest_degree_K10,categorical,0.04070979091541013,63
dass_stress,dass_stress_K10,highest_education_K10,categorical,0.03308978763919361,63
dass_stress,dass_stress_K10,family_status_K10,categorical,0.01967959827512256,63
dass_stress,dass_stress_K10,current_employed_K10,categorical,0.07211783547460131,63
