score,factor,type,value,association,n
dass_depression,gender,categorical,männlich,0.22255936675461818,40
dass_depression,gender,categorical,weiblich,-0.026260692242431993,339
dass_depression,birthyear,numeric,,-0.06022655196476787,379
dass_depression,weight,numeric,,0.11656956282141491,379
dass_depression,pregnant,categorical,nein,0.027391487568478645,336
dass_depression,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.46611466639455346,181
dass_depression,highest_degree,categorical,Fachhochschulreife,1.2392260334212848,54
dass_depression,highest_degree,categorical,Hauptschulabschluss,-0.38744063324538214,25
dass_depression,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),0.24205089217834708,118
dass_depression,family_status,categorical,geschieden,0.5422563364515876,33
dass_depression,family_status,categorical,ledig,-0.2720352278399769,148
dass_depression,family_status,categorical,sonstiger,3.9297022238974755,14
dass_depression,family_status,categorical,verheiratet,-0.15271535852010754,182
dass_depression,current_employed,categorical,ja,-0.5345834903882394,308
dass_depression,current_employed,categorical,nein,2.319038239994055,71
dass_depression,working_hours_model,categorical,Teilzeit,-0.09952380952380935,150
dass_depression,working_hours_model,categorical,Vollzeit,0.09448462929475587,158
dass_depression,shiftwork,categorical,ja,0.0636645962732918,23
dass_depression,shiftwork,categorical,nein,-0.0051378446115286636,285
dass_depression,working_hours_reduced,categorical,False,-0.4931340639023163,274
dass_depression,working_hours_reduced,categorical,True,1.2868450810403322,105
dass_depression,children,numeric,,0.11941405992897512,188
dass_depression,headache_days_per_month,numeric,,0.3404002161254417,379
dass_depression,headache_days_severe_per_month,numeric,,0.2867440742971504,379
dass_depression,days_medication,numeric,,0.1302044388757567,379
dass_depression,intensity,numeric,,0.19475751683631973,379
dass_depression,days_lost_work,numeric,,0.19924457795014963,379
dass_depression,days_lost_household,numeric,,0.3049706441702758,379
dass_depression,days_doctor,numeric,,0.23815178600507697,379
dass_depression,days_ER,binary,,0.08861054245861044,379
dass_depression,days_hospital,numeric,,0.09550451948590137,379
dass_fear,gender,categorical,männlich,-0.3466358839050132,40
dass_fear,gender,categorical,weiblich,0.04090098925132901,339
dass_fear,birthyear,numeric,,-0.004373365107412607,379
dass_fear,weight,numeric,,0.001441865366653478,379
dass_fear,pregnant,categorical,nein,0.014248841129372192,336
dass_fear,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.4868292540707593,181
dass_fear,highest_degree,categorical,Fachhochschulreife,1.2598455975764686,54
dass_fear,highest_degree,categorical,Hauptschulabschluss,-0.06163588390501307,25
dass_fear,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),0.1681946245695629,118
dass_fear,family_status,categorical,geschieden,0.9298792676101382,33
dass_fear,family_status,categorical,ledig,0.1297154674463381,148
dass_fear,family_status,categorical,sonstiger,1.5640784018092724,14
dass_fear,family_status,categorical,verheiratet,-0.39746005972918885,182
dass_fear,current_employed,categorical,ja,-0.29955796182709094,308
dass_fear,current_employed,categorical,nein,1.2994908766583668,71
dass_fear,working_hours_model,categorical,Teilzeit,-0.2220779220779221,150
dass_fear,working_hours_model,categorical,Vollzeit,0.21083347032714084,158
dass_fear,shiftwork,categorical,ja,0.556182947487295,23
dass_fear,shiftwork,categorical,nein,-0.04488493962178186,285
dass_fear,working_hours_reduced,categorical,False,-0.3201760298904146,274
dass_fear,working_hours_reduced,categorical,True,0.8355069732378437,105
dass_fear,children,numeric,,0.08455287624521102,188
dass_fear,headache_days_per_month,numeric,,0.2530795768588888,379
dass_fear,headache_days_severe_per_month,numeric,,0.2536732369929488,379
dass_fear,days_medication,numeric,,0.06913760064854221,379
dass_fear,intensity,numeric,,0.18291662975148373,379
dass_fear,days_lost_work,numeric,,0.19341605855089614,379
dass_fear,days_lost_household,numeric,,0.28491803773926233,379
dass_fear,days_doctor,numeric,,0.1217301585328349,379
dass_fear,days_ER,binary,,0.03443753384078222,379
dass_fear,days_hospital,numeric,,0.023522784522773288,379
dass_stress,gender,categorical,männlich,-0.3889182058047487,40
dass_stress,gender,categorical,weiblich,0.045890053782271956,339
dass_stress,birthyear,numeric,,-0.03945418618556042,379
dass_stress,weight,numeric,,0.04377314021890396,379
dass_stress,pregnant,categorical,nein,0.004477454698693428,336
dass_stress,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.5900231781804397,181
dass_stress,highest_degree,categorical,Fachhochschulreife,2.544415127528585,54
dass_stress,highest_degree,categorical,Hauptschulabschluss,-0.4289182058047487,25
dass_stress,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),-0.1617995617369523,118
dass_stress,family_status,categorical,geschieden,0.48380906692252346,33
dass_stress,family_status,categorical,ledig,-0.14702631391285692,148
dass_stress,family_status,categorical,sonstiger,1.9253675084809645,14
dass_stress,family_status,categorical,verheiratet,-0.10210501899156199,182
dass_stress,current_employed,categorical,ja,-0.40580132268786606,308
dass_stress,current_employed,categorical,nein,1.760377568843139,71
dass_stress,working_hours_model,categorical,Teilzeit,-0.23645021645021647,150
dass_stress,working_hours_model,categorical,Vollzeit,0.22447805359197748,158
dass_stress,shiftwork,categorical,ja,-0.2526821005081876,23
dass_stress,shiftwork,categorical,nein,0.020391888812941517,285
dass_stress,working_hours_reduced,categorical,False,-0.5772393736879611,274
dass_stress,working_hours_reduced,categorical,True,1.506319889433347,105
dass_stress,children,numeric,,0.0265795887887235,188
dass_stress,headache_days_per_month,numeric,,0.2834373307678615,379
dass_stress,headache_days_severe_per_month,numeric,,0.29363336873376145,379
dass_stress,days_medication,numeric,,0.12013576670359886,379
dass_stress,intensity,numeric,,0.23592520210522286,379
dass_stress,days_lost_work,numeric,,0.22591073756397065,379
dass_stress,days_lost_household,numeric,,0.34688483795200387,379
dass_stress,days_doctor,numeric,,0.18671990471034075,379
dass_stress,days_ER,binary,,0.0834489186040642,379
dass_stress,days_hospital,numeric,,0.08986770776194472,379
midas_result,gender,categorical,männlich,3.6591029023746735,40
midas_result,gender,categorical,weiblich,-0.4317525548524692,339
midas_result,birthyear,numeric,,-0.07634131373987278,379
midas_result,weight,numeric,,0.05535858678122374,379
midas_result,pregnant,categorical,nein,0.12002212389380773,336
midas_result,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-3.1928307992827882,181
midas_result,highest_degree,categorical,Fachhochschulreife,13.514658457930228,54
midas_result,highest_degree,categorical,Hauptschulabschluss,-5.780897097625328,25
midas_result,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),0.19639103796789215,118
midas_result,family_status,categorical,geschieden,10.974254417526186,33
midas_result,family_status,categorical,ledig,-1.5341403408685714,148
midas_result,family_status,categorical,sonstiger,32.74481718808896,14
midas_result,family_status,categorical,verheiratet,-3.0573806141088475,182
midas_result,current_employed,categorical,ja,-5.375312682040914,308
midas_result,current_employed,categorical,nein,23.318257831952135,71
midas_result,working_hours_model,categorical,Teilzeit,-0.46558441558441643,150
midas_result,working_hours_model,categorical,Vollzeit,0.4420105211244447,158
midas_result,shiftwork,categorical,ja,11.138763410502538,23
midas_result,shiftwork,categorical,nein,-0.89891774891775,285
midas_result,working_hours_reduced,categorical,False,-5.132137973537738,274
midas_result,working_hours_reduced,categorical,True,13.392436235708,105
midas_result,children,numeric,,-0.017754657085208177,188
midas_result,headache_days_per_month,numeric,,0.5579443565304302,379
midas_result,headache_days_severe_per_month,numeric,,0.565757166915867,379
midas_result,days_medication,numeric,,0.3824420806147495,379
midas_result,intensity,numeric,,0.34698263823317926,379
midas_result,days_lost_work,numeric,,0.4703849420616032,379
midas_result,days_lost_household,numeric,,0.7260773568380586,379
midas_result,days_doctor,numeric,,0.3869337944825487,379
midas_result,days_ER,binary,,0.10605402584572712,379
midas_result,days_hospital,numeric,,0.17376237030458425,379
gvas_result,gender,categorical,männlich,-0.4713060686015851,40
gvas_result,gender,categorical,weiblich,0.055611335528205075,339
gvas_result,birthyear,numeric,,0.07129408736121755,379
gvas_result,weight,numeric,,-0.10453920220922583,379
gvas_result,pregnant,categorical,nein,-0.00013168984407485596,336
gvas_result,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,1.6025889590227251,181
gvas_result,highest_degree,categorical,Fachhochschulreife,-5.855565327860845,54
gvas_result,highest_degree,categorical,Hauptschulabschluss,0.5236939313984124,25
gvas_result,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),-0.07935691605921136,118
gvas_result,family_status,categorical,geschieden,0.009754537459023993,33
gvas_result,family_status,categorical,ledig,0.6604506881551728,148
gvas_result,family_status,categorical,sonstiger,-21.096306068601585,14
gvas_result,family_status,categorical,verheiratet,1.4806170083214951,182
gvas_result,current_employed,categorical,ja,2.7933043210088044,308
gvas_result,current_employed,categorical,nein,-12.117432829164969,71
gvas_result,working_hours_model,categorical,Teilzeit,-1.289610389610388,150
gvas_result,working_hours_model,categorical,Vollzeit,1.2243136610225207,158
gvas_result,shiftwork,categorical,ja,-2.867871259175608,23
gvas_result,shiftwork,categorical,nein,0.23144224196855845,285
gvas_result,working_hours_reduced,categorical,False,2.4766866321283416,274
gvas_result,working_hours_reduced,categorical,True,-6.462972735268252,105
gvas_result,children,numeric,,-0.051365660418901594,188
gvas_result,headache_days_per_month,numeric,,-0.49827532773222083,379
gvas_result,headache_days_severe_per_month,numeric,,-0.3809773964127796,379
gvas_result,days_medication,numeric,,-0.29582341977072074,379
gvas_result,intensity,numeric,,-0.19487071964417155,379
gvas_result,days_lost_work,numeric,,-0.2530691738503054,379
gvas_result,days_lost_household,numeric,,-0.33808748034497677,379
gvas_result,days_doctor,numeric,,-0.27679996713800076,379
gvas_result,days_ER,binary,,-0.05787951733835945,379
gvas_result,days_hospital,numeric,,-0.11655000675466783,379
pgic_result,gender,categorical,männlich,0.13054089709762584,40
pgic_result,gender,categorical,weiblich,-0.015403055704734214,339
pgic_result,birthyear,numeric,,-0.07571458610476288,379
pgic_result,weight,numeric,,0.01090456950097259,379
pgic_result,pregnant,categorical,nein,0.01082490518331225,336
pgic_result,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,0.02819283079928292,181
pgic_result,highest_degree,categorical,Fachhochschulreife,0.08702237857910688,54
pgic_result,highest_degree,categorical,Hauptschulabschluss,-0.33445910290237446,25
pgic_result,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),-0.013103170698984812,118
pgic_result,family_status,categorical,geschieden,-0.5308227392660108,33
pgic_result,family_status,categorical,ledig,-0.14445910290237451,148
pgic_result,family_status,categorical,sonstiger,0.9626837542404822,14
pgic_result,family_status,categorical,verheiratet,0.13850793006465834,182
pgic_result,current_employed,categorical,ja,-0.086017544460816,308
pgic_result,current_employed,categorical,nein,0.3731465309004425,71
pgic_result,working_hours_model,categorical,Teilzeit,0.09822510822510822,150
pgic_result,working_hours_model,categorical,Vollzeit,-0.09325168502383718,158
pgic_result,shiftwork,categorical,ja,0.01764539808018073,23
pgic_result,shiftwork,categorical,nein,-0.0014240145819095495,285
pgic_result,working_hours_reduced,categorical,False,-0.04044450436222835,274
pgic_result,working_hours_reduced,categorical,True,0.10554089709762549,105
pgic_result,children,numeric,,0.0768843977173084,188
pgic_result,headache_days_per_month,numeric,,0.3539962652430695,379
pgic_result,headache_days_severe_per_month,numeric,,0.2623013447478357,379
pgic_result,days_medication,numeric,,0.3024130645121509,379
pgic_result,intensity,numeric,,0.16070513335649816,379
pgic_result,days_lost_work,numeric,,0.19555784130907894,379
pgic_result,days_lost_household,numeric,,0.247632659563616,379
pgic_result,days_doctor,numeric,,0.17367945801458387,379
pgic_result,days_ER,binary,,0.056129091142433224,379
pgic_result,days_hospital,numeric,,0.06273148583639142,379
dass_depression,gender,categorical,männlich,0.32179023508137483,35
dass_depression,gender,categorical,weiblich,-0.040080634262804615,281
dass_depression,birthyear,numeric,,-0.06918909513338649,316
dass_depression,weight,numeric,,0.0803763183969381,316
dass_depression,pregnant,categorical,nein,0.033557305651553904,277
dass_depression,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.39748109761277695,149
dass_depression,highest_degree,categorical,Fachhochschulreife,0.5944092827004219,48
dass_depression,highest_degree,categorical,Hauptschulabschluss,0.688707528314457,19
dass_depression,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),0.18153049482163475,99
dass_depression,family_status,categorical,geschieden,0.7789330922242321,35
dass_depression,family_status,categorical,ledig,-0.1931923433158378,123
dass_depression,family_status,categorical,verheiratet,-0.1156019029819042,149
dass_depression,current_employed,categorical,ja,-0.5084107426481204,263
dass_depression,current_employed,categorical,nein,2.522868402197277,53
dass_depression,working_hours_model,categorical,Teilzeit,-0.04155981961269761,129
dass_depression,working_hours_model,categorical,Vollzeit,0.04000908007491066,134
dass_depression,shiftwork,categorical,ja,0.26213375083873824,17
dass_depression,shiftwork,categorical,nein,-0.01811493400105091,246
dass_depression,working_hours_reduced,categorical,False,-0.439145289570964,226
dass_depression,working_hours_reduced,categorical,True,1.1027426160337557,90
dass_depression,children,numeric,,0.045344472289383396,151
dass_depression,headache_days_per_month,numeric,,0.2997384949771055,316
dass_depression,headache_days_severe_per_month,numeric,,0.33816126917974176,316
dass_depression,days_medication,numeric,,0.12212227804790318,316
dass_depression,intensity,numeric,,0.21494644854761613,316
dass_depression,days_lost_work,numeric,,0.2856850180762449,316
dass_depression,days_lost_household,numeric,,0.3529093370983603,316
dass_depression,days_doctor,numeric,,0.2548379762432203,316
dass_depression,days_ER,numeric,,0.08236460352273867,316
dass_depression,days_hospital,numeric,,0.09960084968020365,316
dass_fear,gender,categorical,männlich,-0.03128390596745012,35
dass_fear,gender,categorical,weiblich,0.0038965719176542457,281
dass_fear,birthyear,numeric,,-0.03741335702833519,316
dass_fear,weight,numeric,,0.0775644962081164,316
dass_fear,pregnant,categorical,nein,0.009378573172141635,277
dass_fear,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.6690595531390704,149
